id,pair,label,sentence,cleaned_text,tokens,n_tokens_raw,n_tokens_clean
1,pair1,positive,បឹងកេតធ្លាប់បានក្លាយជាជើងឯកនៃពានរង្វាន់សម្តេចតេជោនេះ១លើកកាលពីឆ្នាំ២០១៩ និងធ្លាប់ទទួលបានចំណាត់ថ្នាក់លេខ៣ពីរដង និងលេខ៤មួយដង។,បឹង កេត ធ្លាប់ ក្លាយជា ជើងឯក នៃ ពានរង្វាន់ សម្តេច តេជោ ១លើក កាលពី ឆ្នាំ ២០១៩ ធ្លាប់ ទទួលបាន ចំណាត់ថ្នាក់ លេខ ៣ពីរ ដង លេខ ៤មួយ ដង,"['បឹង', 'កេត', 'ធ្លាប់', 'ក្លាយជា', 'ជើងឯក', 'នៃ', 'ពានរង្វាន់', 'សម្តេច', 'តេជោ', '១លើក', 'កាលពី', 'ឆ្នាំ', '២០១៩', 'ធ្លាប់', 'ទទួលបាន', 'ចំណាត់ថ្នាក់', 'លេខ', '៣ពីរ', 'ដង', 'លេខ', '៤មួយ', 'ដង']",27,22
2,pair1,negative,"មាន ២,០៧៣ ករណីដែលបានរាយការណ៍ទាក់ទងនឹងការដួលសន្លប់របស់កម្មករ។",មាន ០៧៣ ករណី រាយការណ៍ ទាក់ទង ការដួល សន្លប់ កម្មករ,"['មាន', '០៧៣', 'ករណី', 'រាយការណ៍', 'ទាក់ទង', 'ការដួល', 'សន្លប់', 'កម្មករ']",13,8
3,pair1,neutral,ច្បាប់ស្តីពីការគ្រប់គ្រងនិងការធ្វើអាជីវកម្មធនធានរ៉ែពីពេលនេះតទៅហៅកាត់ថាច្បាប់រុករករ៉ែអះអាងថារាល់ធនធានរ៉ែទាំងអស់គឺជាទ្រព្យសម្បត្តិរដ្ឋ៤។,ច្បាប់ ស្តីពី ការគ្រប់គ្រង ការធ្វើ អាជីវកម្ម ធនធាន រ៉ែ ពេលនេះ តទៅ ហៅ កាត់ ច្បាប់ រុករក រ៉ែ អះអាង រាល់ ធនធាន រ៉ែ ទាំងអស់ គឺជា ទ្រព្យសម្បត្តិ រដ្ឋ ៤។,"['ច្បាប់', 'ស្តីពី', 'ការគ្រប់គ្រង', 'ការធ្វើ', 'អាជីវកម្ម', 'ធនធាន', 'រ៉ែ', 'ពេលនេះ', 'តទៅ', 'ហៅ', 'កាត់', 'ច្បាប់', 'រុករក', 'រ៉ែ', 'អះអាង', 'រាល់', 'ធនធាន', 'រ៉ែ', 'ទាំងអស់', 'គឺជា', 'ទ្រព្យសម្បត្តិ', 'រដ្ឋ', '៤។']",27,23
4,pair1,neutral,លើកលែងតែប៉ែក ខាងក្រោមទទួលរងឥទ្ធិពលខ្សោយពីប្រព័ន្ធសម្ពាធទាប ដែលអូសបន្លាយកាត់លើចុងខាងត្បូងនៃដីសណ្តមេគង្គ។,លើកលែងតែ ប៉ែក ខាងក្រោម ទទួល រង ឥទ្ធិពល ខ្សោយ ប្រព័ន្ធ សម្ពាធ ទាប អូសបន្លាយ កាត់ ចុង ខាងត្បូង នៃ ដី សណ្ត មេគង្គ,"['លើកលែងតែ', 'ប៉ែក', 'ខាងក្រោម', 'ទទួល', 'រង', 'ឥទ្ធិពល', 'ខ្សោយ', 'ប្រព័ន្ធ', 'សម្ពាធ', 'ទាប', 'អូសបន្លាយ', 'កាត់', 'ចុង', 'ខាងត្បូង', 'នៃ', 'ដី', 'សណ្ត', 'មេគង្គ']",22,18
5,pair1,positive,សម្រាប់គម្រោងមានម្ចាស់ជាវិនិយោគិនក្នុងស្រុក គឺដំណើរការទៅមុខធម្មតា។,គម្រោង មាន ម្ចាស់ វិនិយោគិន ស្រុក ដំណើរការ មុខ ធម្មតា,"['គម្រោង', 'មាន', 'ម្ចាស់', 'វិនិយោគិន', 'ស្រុក', 'ដំណើរការ', 'មុខ', 'ធម្មតា']",14,8
6,pair1,negative,អ្នកប្រើប្រាស់បណ្តាញសង្គមមួយចំនួនបានបញ្ចេញមតិយោបល់ ឬខមមិន(Comments)តបជុំវិញរឿងនេះថា៖ លោក ហ៊ុន សែន កំពុងមានអារម្មណ៍វិលវល់នៅពេលលោកមានអាយុកាន់តែចាស់ សុខភាពក៏កាន់តែទ្រុឌទ្រោម។,អ្នកប្រើប្រាស់ បណ្តាញ សង្គម ចំនួន បញ្ចេញមតិ យោបល់ ខម មិន Comments តប ជុំវិញ រឿង ថា៖ ហ៊ុន សែន កំពុង មាន អារម្មណ៍ វិលវល់ នៅពេល មាន អាយុ កាន់តែ ចាស់ សុខភាព កាន់តែ ទ្រុឌទ្រោម,"['អ្នកប្រើប្រាស់', 'បណ្តាញ', 'សង្គម', 'ចំនួន', 'បញ្ចេញមតិ', 'យោបល់', 'ខម', 'មិន', 'Comments', 'តប', 'ជុំវិញ', 'រឿង', 'ថា៖', 'ហ៊ុន', 'សែន', 'កំពុង', 'មាន', 'អារម្មណ៍', 'វិលវល់', 'នៅពេល', 'មាន', 'អាយុ', 'កាន់តែ', 'ចាស់', 'សុខភាព', 'កាន់តែ', 'ទ្រុឌទ្រោម']",34,27
7,pair1,positive,ការរួមចំណែក និងការខិតខំប្រឹងប្រែងរួមគ្នារបស់យើងជាមួយរាជរដ្ឋាភិបាលកម្ពុជាក្នុងអំឡុងវិបត្តិដ៏មហន្តរាយនេះបានបង្ហាញឱ្យអ្នករាល់គ្នាដឹងថា ក្រុមហ៊ុន Smart Axiata ពិតជានៅទីនេះ ដើម្បីបម្រើប្រទេសកម្ពុជា និងប្រជាជនកម្ពុជាទាំងអស់។,ការរួមចំណែក ការខិតខំ ប្រឹងប្រែង រួមគ្នា រាជ រដ្ឋាភិបាល កម្ពុជា អំឡុង វិបត្តិ ដ៏ មហន្តរាយ បង្ហាញ ឱ្យ រាល់គ្នា ដឹង ក្រុមហ៊ុន Smart Axiata ពិតជា ទីនេះ បម្រើ ប្រទេស កម្ពុជា ប្រជាជន កម្ពុជា ទាំងអស់,"['ការរួមចំណែក', 'ការខិតខំ', 'ប្រឹងប្រែង', 'រួមគ្នា', 'រាជ', 'រដ្ឋាភិបាល', 'កម្ពុជា', 'អំឡុង', 'វិបត្តិ', 'ដ៏', 'មហន្តរាយ', 'បង្ហាញ', 'ឱ្យ', 'រាល់គ្នា', 'ដឹង', 'ក្រុមហ៊ុន', 'Smart', 'Axiata', 'ពិតជា', 'ទីនេះ', 'បម្រើ', 'ប្រទេស', 'កម្ពុជា', 'ប្រជាជន', 'កម្ពុជា', 'ទាំងអស់']",39,26
8,pair1,neutral,ការស្រាវជ្រាវបានមើលទៅលើអ្នកជំងឺជាង៤.៤នាក់ដែលត្រូវបានគេធ្វើរោគវិនិច្ឆ័យឃើញថាមានការគេងមិនដកដង្ហើមមុនឬក្រោយពួកគេមានការវះកាត់និងក្រុមនៃអ្នកជំងឺដែលមានបញ្ហានេះ។,ការស្រាវជ្រាវ មើល អ្នកជំងឺ ជាង ៤នាក់ ត្រូវបាន ធ្វើ រោគវិនិច្ឆ័យ ឃើញ មាន ការគេង មិន ដកដង្ហើម មុន ក្រោយ ពួកគេ មាន ការវះកាត់ ក្រុម នៃ អ្នកជំងឺ មាន បញ្ហា,"['ការស្រាវជ្រាវ', 'មើល', 'អ្នកជំងឺ', 'ជាង', '៤នាក់', 'ត្រូវបាន', 'ធ្វើ', 'រោគវិនិច្ឆ័យ', 'ឃើញ', 'មាន', 'ការគេង', 'មិន', 'ដកដង្ហើម', 'មុន', 'ក្រោយ', 'ពួកគេ', 'មាន', 'ការវះកាត់', 'ក្រុម', 'នៃ', 'អ្នកជំងឺ', 'មាន', 'បញ្ហា']",35,23
9,pair1,positive,សកម្មជនសហជីព និងជាកូដករក្រុមហ៊ុនណាហ្គាវើលដ៍ កញ្ញា ជា សុខុម លើកឡើងថា ក្រុមកូដករមិនបានទាមទារលក្ខខណ្ឌធ្ងន់ធ្ងរណាមួយ ក្រៅតែពីចង់ឱ្យថៅកែទទួលយកសហជីពឯករាជ្យដែលអាចការពារកម្មករបាន ឱ្យចូលធ្វើការវិញនោះទេ។,សកម្មជន សហជីព កូដក ក្រុមហ៊ុន ណាហ្គាវើលដ៍ កញ្ញា សុខុម លើកឡើង ក្រុម កូដករ មិន ទាមទារ លក្ខខណ្ឌ ធ្ងន់ធ្ងរ ណាមួយ ក្រៅតែ ចង់ឱ្យ ថៅ កែទទួលយក សហជីព ឯករាជ្យ ការពារ កម្មករ ឱ្យ ចូល ធ្វើ ការ វិញ,"['សកម្មជន', 'សហជីព', 'កូដក', 'ក្រុមហ៊ុន', 'ណាហ្គាវើលដ៍', 'កញ្ញា', 'សុខុម', 'លើកឡើង', 'ក្រុម', 'កូដករ', 'មិន', 'ទាមទារ', 'លក្ខខណ្ឌ', 'ធ្ងន់ធ្ងរ', 'ណាមួយ', 'ក្រៅតែ', 'ចង់ឱ្យ', 'ថៅ', 'កែទទួលយក', 'សហជីព', 'ឯករាជ្យ', 'ការពារ', 'កម្មករ', 'ឱ្យ', 'ចូល', 'ធ្វើ', 'ការ', 'វិញ']",41,28
10,pair1,negative,សេចក្តីព្រាងនៃសេចក្តីប្រកាសព័ត៌មានរបស់ប្រធានអាស៊ានពាក់ព័ន្ធទៅនឹងភូមា បានធ្វើឱ្យកម្ពុជាគិតច្រើន ម្ខាងជាគ្រួសារធំអាស៊ាន៩ ជាមួយសហគមន៍អន្តរជាតិ និងម្ខាងទៀតជាចំណងការទូតនិងបេសកកម្មប្រវត្តិសាស្រតរបស់កម្ពុជាក្នុងនាមប្រធានអាស៊ានដែលត្រូវធ្វើការ១ឆ្នាំពេញជាមួយ។,សេចក្តីព្រាង នៃ សេចក្តីប្រកាស ព័ត៌មាន ប្រធាន អាស៊ាន ពាក់ព័ន្ធ ទៅនឹង ភូមា ធ្វើឱ្យ កម្ពុជា គិត ច្រើន ម្ខាង គ្រួសារ ធំ អាស៊ាន សហគមន៍ អន្តរជាតិ ម្ខាង ទៀត ចំណង ការទូត បេសកកម្ម ប្រវត្តិសាស្រត កម្ពុជា នាម ប្រធាន អាស៊ាន ធ្វើ ការ១ ឆ្នាំ ពេញ,"['សេចក្តីព្រាង', 'នៃ', 'សេចក្តីប្រកាស', 'ព័ត៌មាន', 'ប្រធាន', 'អាស៊ាន', 'ពាក់ព័ន្ធ', 'ទៅនឹង', 'ភូមា', 'ធ្វើឱ្យ', 'កម្ពុជា', 'គិត', 'ច្រើន', 'ម្ខាង', 'គ្រួសារ', 'ធំ', 'អាស៊ាន', 'សហគមន៍', 'អន្តរជាតិ', 'ម្ខាង', 'ទៀត', 'ចំណង', 'ការទូត', 'បេសកកម្ម', 'ប្រវត្តិសាស្រត', 'កម្ពុជា', 'នាម', 'ប្រធាន', 'អាស៊ាន', 'ធ្វើ', 'ការ១', 'ឆ្នាំ', 'ពេញ']",47,33
