id,pair,sentence,label,status,annotator_1,annotator_2,label_1,label_2
1,pair1,បឹងកេតធ្លាប់បានក្លាយជាជើងឯកនៃពានរង្វាន់សម្តេចតេជោនេះ១លើកកាលពីឆ្នាំ២០១៩ និងធ្លាប់ទទួលបានចំណាត់ថ្នាក់លេខ៣ពីរដង និងលេខ៤មួយដង។,,needs_adjudication,Bath,Nacc,neutral,positive
2,pair1,"មាន ២,០៧៣ ករណីដែលបានរាយការណ៍ទាក់ទងនឹងការដួលសន្លប់របស់កម្មករ។",negative,agreed,Bath,Nacc,negative,negative
3,pair1,ច្បាប់ស្តីពីការគ្រប់គ្រងនិងការធ្វើអាជីវកម្មធនធានរ៉ែពីពេលនេះតទៅហៅកាត់ថាច្បាប់រុករករ៉ែអះអាងថារាល់ធនធានរ៉ែទាំងអស់គឺជាទ្រព្យសម្បត្តិរដ្ឋ៤។,neutral,agreed,Bath,Nacc,neutral,neutral
4,pair1,លើកលែងតែប៉ែក ខាងក្រោមទទួលរងឥទ្ធិពលខ្សោយពីប្រព័ន្ធសម្ពាធទាប ដែលអូសបន្លាយកាត់លើចុងខាងត្បូងនៃដីសណ្តមេគង្គ។,neutral,agreed,Bath,Nacc,neutral,neutral
5,pair1,សម្រាប់គម្រោងមានម្ចាស់ជាវិនិយោគិនក្នុងស្រុក គឺដំណើរការទៅមុខធម្មតា។,,needs_adjudication,Bath,Nacc,positive,neutral
6,pair1,អ្នកប្រើប្រាស់បណ្តាញសង្គមមួយចំនួនបានបញ្ចេញមតិយោបល់ ឬខមមិន(Comments)តបជុំវិញរឿងនេះថា៖ លោក ហ៊ុន សែន កំពុងមានអារម្មណ៍វិលវល់នៅពេលលោកមានអាយុកាន់តែចាស់ សុខភាពក៏កាន់តែទ្រុឌទ្រោម។,,needs_adjudication,Bath,Nacc,positive,negative
7,pair1,ការរួមចំណែក និងការខិតខំប្រឹងប្រែងរួមគ្នារបស់យើងជាមួយរាជរដ្ឋាភិបាលកម្ពុជាក្នុងអំឡុងវិបត្តិដ៏មហន្តរាយនេះបានបង្ហាញឱ្យអ្នករាល់គ្នាដឹងថា ក្រុមហ៊ុន Smart Axiata ពិតជានៅទីនេះ ដើម្បីបម្រើប្រទេសកម្ពុជា និងប្រជាជនកម្ពុជាទាំងអស់។,positive,agreed,Bath,Nacc,positive,positive
8,pair1,ការស្រាវជ្រាវបានមើលទៅលើអ្នកជំងឺជាង៤.៤នាក់ដែលត្រូវបានគេធ្វើរោគវិនិច្ឆ័យឃើញថាមានការគេងមិនដកដង្ហើមមុនឬក្រោយពួកគេមានការវះកាត់និងក្រុមនៃអ្នកជំងឺដែលមានបញ្ហានេះ។,,needs_adjudication,Bath,Nacc,negative,neutral
9,pair1,សកម្មជនសហជីព និងជាកូដករក្រុមហ៊ុនណាហ្គាវើលដ៍ កញ្ញា ជា សុខុម លើកឡើងថា ក្រុមកូដករមិនបានទាមទារលក្ខខណ្ឌធ្ងន់ធ្ងរណាមួយ ក្រៅតែពីចង់ឱ្យថៅកែទទួលយកសហជីពឯករាជ្យដែលអាចការពារកម្មករបាន ឱ្យចូលធ្វើការវិញនោះទេ។,,needs_adjudication,Bath,Nacc,negative,neutral
10,pair1,សេចក្តីព្រាងនៃសេចក្តីប្រកាសព័ត៌មានរបស់ប្រធានអាស៊ានពាក់ព័ន្ធទៅនឹងភូមា បានធ្វើឱ្យកម្ពុជាគិតច្រើន ម្ខាងជាគ្រួសារធំអាស៊ាន៩ ជាមួយសហគមន៍អន្តរជាតិ និងម្ខាងទៀតជាចំណងការទូតនិងបេសកកម្មប្រវត្តិសាស្រតរបស់កម្ពុជាក្នុងនាមប្រធានអាស៊ានដែលត្រូវធ្វើការ១ឆ្នាំពេញជាមួយ។,,needs_adjudication,Bath,Nacc,positive,neutral
11,pair1,ប្រដាប់ប្រដាក្មេងលេងដែលត្រឹមត្រូវនឹងធ្វើឱ្យគេចាប់អារម្មណ៍ និងជាឧបករណ៍អប់រំដ៏ល្អឥតខ្ចោះ ។,positive,agreed,Bath,Nacc,positive,positive
12,pair1,អ្នកនាំពាក្យរដ្ឋសភាលោក ឡេង ប៉េងឡុង ប្រាប់វិទ្យុអាស៊ីសេរីថា ខាងលោកបានទទួលលិខិតពីរដ្ឋាភិបាលដែលស្នើសុំរដ្ឋសភារៀបចំបោះឆ្នោតផ្តល់សេចក្តីទុកចិត្តនៃការបំពេញបន្ថែមសមាសភាពសមាជិករដ្ឋាភិបាលដល់លោក ឌិត ទីណា ជារដ្ឋមន្ត្រីក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ។,,needs_adjudication,Bath,Nacc,negative,neutral
13,pair1,គួរបញ្ជាក់ផងដែរថា កម្ពុជានៅតែមានការលើកទឹកចិត្តវិនិយោគមានភាពទាក់ទាញ គម្រោងវិនិយោគដែលមានលក្ខណៈសម្បត្តិគ្រប់់គ្រាន់ (QIP) មានសិទ្ធិទទួលបានការលើកទឹកចិត្តជាច្រើនដូចជា៖,positive,agreed,Bath,Nacc,positive,positive
14,pair1,អាហ្នឹងយើងឃើញមានការដេញដោលប៉ុណ្ណឹងម្សិលមិញនេះ។,neutral,agreed,Bath,Nacc,neutral,neutral
15,pair1,គោលគំនិតឬអត្ថន័យដែលបងបានចែករំលែកក្នុងវីឌីអូនេះនិយាយពីទម្លាប់តូចៗមួយចំនួនដែលធ្វើដោយមិនដឹងខ្លួន ហើយវាកំពុងតែបំផ្លាញជីវិតយើង។,,needs_adjudication,Bath,Nacc,positive,negative
16,pair1,ជាការពិតផលិតផលមួយមិនអាចកើតមានឡើងដោយឯកឯងទេឬក៏ដោយពុំមានការវិនិយោគនោះ,,needs_adjudication,Bath,Nacc,positive,neutral
17,pair1,រដ្ឋាភិបាលបានចំណាយថវិកាច្រើនបំផុតនៃកញ្ចប់ថវិការរបស់ខ្លួនទៅលើការធ្វើឲ្យប្រសើរឡើងនៃការអប់រំ បង្កើនប្រាក់ខែរបស់គ្រូបង្រៀន និងការធ្វើកំណែទម្រង់គោលនយោបាយ។,positive,agreed,Bath,Nacc,positive,positive
18,pair1,វ័យក្មេងរបស់គេបានកន្លងផុតអស់ជា ច្រើនឆ្នាំទៅហើយ ធ្មេញបាក់ សក់ស្កូវ ស្តើងតិច ឬគ្មានសក់រលីង ស្បែកជីវជ្រួញដៃជើងវៀចកោង។,,needs_adjudication,Bath,Nacc,neutral,negative
19,pair1,អាម៉េរិកគឺជាតួអង្គសំខាន់នៅតំបន់ប៉ាស៊ីហ្វិកខាងត្បូងចាប់តាំងពីជ័យជម្នះសង្គរាមលោកលើកទីពីរ។,,needs_adjudication,Bath,Nacc,positive,neutral
20,pair1,ចំណែកអ្នកនាំពាក្យគណបក្សប្រជាជនកម្ពុជា លោក សុខ ឥសាន យល់ថា ការសម្រេចរបស់តុលាការពេលនេះគឺផ្អែកតាមអង្គហេតុ និងអង្គច្បាប់ត្រឹមត្រូវ។,positive,agreed,Bath,Nacc,positive,positive
21,pair1,ពួកយើងក៏បានចុះចតនៅអាកាសយានដ្ឋានទីក្រុងបាងកក ហើយក៏បន្តជើងយន្តហោះ ទៅខេត្តឈៀងម៉ៃដោយសុវត្ថិភាព នៅវេលាម៉ោងប្រហែល៤រសៀល។,,needs_adjudication,Bath,Nacc,positive,neutral
22,pair1,ខ្ញុំចង់ចេញនៅថ្ងៃសុក្រនេះ,neutral,agreed,Bath,Nacc,neutral,neutral
23,pair1,រាជធានីភ្នំពេញ៖ លោកជំទាវបណ្ឌិត ពេជ ចន្ទមុន្នី ហ៊ុន ម៉ាណែត ត្រូវបានចាត់តាំងជាឧត្តមទីប្រឹក្សា នៃកាយរឹទ្ធិជាតិកម្ពុជា។,,needs_adjudication,Bath,Nacc,positive,neutral
24,pair1,លោកអ្នកនាងជាទីមេត្រីថ្ងៃនេះ SBM News សូមលើកយក ជោគជតារាសី សម្រាប់ថ្ងៃសៅរ៍ ០៧រោច ខែភទ្របទ ឆ្នាំខាល ចត្វាស័ក ពុទ្ធសករាជ ២៥៦៦ ត្រូវនឹងថ្ងៃទី១៧ ខែកញ្ញា ឆ្នាំ២០២២ ដែលមានដូចតទៅ៖,neutral,agreed,Bath,Nacc,neutral,neutral
25,pair1,សូមកុំយកកូនបើសិនអ្នកគ្មានទំនួលខុសត្រូវភាពជាឪពុកម្តាយ,,needs_adjudication,Bath,Nacc,neutral,negative
