id,pair,sentence,label,resolution
1,pair1,បឹងកេតធ្លាប់បានក្លាយជាជើងឯកនៃពានរង្វាន់សម្តេចតេជោនេះ១លើកកាលពីឆ្នាំ២០១៩ និងធ្លាប់ទទួលបានចំណាត់ថ្នាក់លេខ៣ពីរដង និងលេខ៤មួយដង។,positive,corpus label used
2,pair1,"មាន ២,០៧៣ ករណីដែលបានរាយការណ៍ទាក់ទងនឹងការដួលសន្លប់របស់កម្មករ។",negative,annotators agreed
3,pair1,ច្បាប់ស្តីពីការគ្រប់គ្រងនិងការធ្វើអាជីវកម្មធនធានរ៉ែពីពេលនេះតទៅហៅកាត់ថាច្បាប់រុករករ៉ែអះអាងថារាល់ធនធានរ៉ែទាំងអស់គឺជាទ្រព្យសម្បត្តិរដ្ឋ៤។,neutral,annotators agreed
4,pair1,លើកលែងតែប៉ែក ខាងក្រោមទទួលរងឥទ្ធិពលខ្សោយពីប្រព័ន្ធសម្ពាធទាប ដែលអូសបន្លាយកាត់លើចុងខាងត្បូងនៃដីសណ្តមេគង្គ។,neutral,annotators agreed
5,pair1,សម្រាប់គម្រោងមានម្ចាស់ជាវិនិយោគិនក្នុងស្រុក គឺដំណើរការទៅមុខធម្មតា។,positive,corpus label used
6,pair1,អ្នកប្រើប្រាស់បណ្តាញសង្គមមួយចំនួនបានបញ្ចេញមតិយោបល់ ឬខមមិន(Comments)តបជុំវិញរឿងនេះថា៖ លោក ហ៊ុន សែន កំពុងមានអារម្មណ៍វិលវល់នៅពេលលោកមានអាយុកាន់តែចាស់ សុខភាពក៏កាន់តែទ្រុឌទ្រោម។,negative,corpus label used
7,pair1,ការរួមចំណែក និងការខិតខំប្រឹងប្រែងរួមគ្នារបស់យើងជាមួយរាជរដ្ឋាភិបាលកម្ពុជាក្នុងអំឡុងវិបត្តិដ៏មហន្តរាយនេះបានបង្ហាញឱ្យអ្នករាល់គ្នាដឹងថា ក្រុមហ៊ុន Smart Axiata ពិតជានៅទីនេះ ដើម្បីបម្រើប្រទេសកម្ពុជា និងប្រជាជនកម្ពុជាទាំងអស់។,positive,annotators agreed
8,pair1,ការស្រាវជ្រាវបានមើលទៅលើអ្នកជំងឺជាង៤.៤នាក់ដែលត្រូវបានគេធ្វើរោគវិនិច្ឆ័យឃើញថាមានការគេងមិនដកដង្ហើមមុនឬក្រោយពួកគេមានការវះកាត់និងក្រុមនៃអ្នកជំងឺដែលមានបញ្ហានេះ។,neutral,corpus label used
9,pair1,សកម្មជនសហជីព និងជាកូដករក្រុមហ៊ុនណាហ្គាវើលដ៍ កញ្ញា ជា សុខុម លើកឡើងថា ក្រុមកូដករមិនបានទាមទារលក្ខខណ្ឌធ្ងន់ធ្ងរណាមួយ ក្រៅតែពីចង់ឱ្យថៅកែទទួលយកសហជីពឯករាជ្យដែលអាចការពារកម្មករបាន ឱ្យចូលធ្វើការវិញនោះទេ។,positive,corpus label used
10,pair1,សេចក្តីព្រាងនៃសេចក្តីប្រកាសព័ត៌មានរបស់ប្រធានអាស៊ានពាក់ព័ន្ធទៅនឹងភូមា បានធ្វើឱ្យកម្ពុជាគិតច្រើន ម្ខាងជាគ្រួសារធំអាស៊ាន៩ ជាមួយសហគមន៍អន្តរជាតិ និងម្ខាងទៀតជាចំណងការទូតនិងបេសកកម្មប្រវត្តិសាស្រតរបស់កម្ពុជាក្នុងនាមប្រធានអាស៊ានដែលត្រូវធ្វើការ១ឆ្នាំពេញជាមួយ។,negative,corpus label used
11,pair1,ប្រដាប់ប្រដាក្មេងលេងដែលត្រឹមត្រូវនឹងធ្វើឱ្យគេចាប់អារម្មណ៍ និងជាឧបករណ៍អប់រំដ៏ល្អឥតខ្ចោះ ។,positive,annotators agreed
12,pair1,អ្នកនាំពាក្យរដ្ឋសភាលោក ឡេង ប៉េងឡុង ប្រាប់វិទ្យុអាស៊ីសេរីថា ខាងលោកបានទទួលលិខិតពីរដ្ឋាភិបាលដែលស្នើសុំរដ្ឋសភារៀបចំបោះឆ្នោតផ្តល់សេចក្តីទុកចិត្តនៃការបំពេញបន្ថែមសមាសភាពសមាជិករដ្ឋាភិបាលដល់លោក ឌិត ទីណា ជារដ្ឋមន្ត្រីក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ។,positive,corpus label used
13,pair1,គួរបញ្ជាក់ផងដែរថា កម្ពុជានៅតែមានការលើកទឹកចិត្តវិនិយោគមានភាពទាក់ទាញ គម្រោងវិនិយោគដែលមានលក្ខណៈសម្បត្តិគ្រប់់គ្រាន់ (QIP) មានសិទ្ធិទទួលបានការលើកទឹកចិត្តជាច្រើនដូចជា៖,positive,annotators agreed
14,pair1,អាហ្នឹងយើងឃើញមានការដេញដោលប៉ុណ្ណឹងម្សិលមិញនេះ។,neutral,annotators agreed
15,pair1,គោលគំនិតឬអត្ថន័យដែលបងបានចែករំលែកក្នុងវីឌីអូនេះនិយាយពីទម្លាប់តូចៗមួយចំនួនដែលធ្វើដោយមិនដឹងខ្លួន ហើយវាកំពុងតែបំផ្លាញជីវិតយើង។,negative,corpus label used
16,pair1,ជាការពិតផលិតផលមួយមិនអាចកើតមានឡើងដោយឯកឯងទេឬក៏ដោយពុំមានការវិនិយោគនោះ,negative,corpus label used
17,pair1,រដ្ឋាភិបាលបានចំណាយថវិកាច្រើនបំផុតនៃកញ្ចប់ថវិការរបស់ខ្លួនទៅលើការធ្វើឲ្យប្រសើរឡើងនៃការអប់រំ បង្កើនប្រាក់ខែរបស់គ្រូបង្រៀន និងការធ្វើកំណែទម្រង់គោលនយោបាយ។,positive,annotators agreed
18,pair1,វ័យក្មេងរបស់គេបានកន្លងផុតអស់ជា ច្រើនឆ្នាំទៅហើយ ធ្មេញបាក់ សក់ស្កូវ ស្តើងតិច ឬគ្មានសក់រលីង ស្បែកជីវជ្រួញដៃជើងវៀចកោង។,negative,corpus label used
19,pair1,អាម៉េរិកគឺជាតួអង្គសំខាន់នៅតំបន់ប៉ាស៊ីហ្វិកខាងត្បូងចាប់តាំងពីជ័យជម្នះសង្គរាមលោកលើកទីពីរ។,positive,corpus label used
20,pair1,ចំណែកអ្នកនាំពាក្យគណបក្សប្រជាជនកម្ពុជា លោក សុខ ឥសាន យល់ថា ការសម្រេចរបស់តុលាការពេលនេះគឺផ្អែកតាមអង្គហេតុ និងអង្គច្បាប់ត្រឹមត្រូវ។,positive,annotators agreed
21,pair1,ពួកយើងក៏បានចុះចតនៅអាកាសយានដ្ឋានទីក្រុងបាងកក ហើយក៏បន្តជើងយន្តហោះ ទៅខេត្តឈៀងម៉ៃដោយសុវត្ថិភាព នៅវេលាម៉ោងប្រហែល៤រសៀល។,positive,corpus label used
22,pair1,ខ្ញុំចង់ចេញនៅថ្ងៃសុក្រនេះ,neutral,annotators agreed
23,pair1,រាជធានីភ្នំពេញ៖ លោកជំទាវបណ្ឌិត ពេជ ចន្ទមុន្នី ហ៊ុន ម៉ាណែត ត្រូវបានចាត់តាំងជាឧត្តមទីប្រឹក្សា នៃកាយរឹទ្ធិជាតិកម្ពុជា។,neutral,corpus label used
24,pair1,លោកអ្នកនាងជាទីមេត្រីថ្ងៃនេះ SBM News សូមលើកយក ជោគជតារាសី សម្រាប់ថ្ងៃសៅរ៍ ០៧រោច ខែភទ្របទ ឆ្នាំខាល ចត្វាស័ក ពុទ្ធសករាជ ២៥៦៦ ត្រូវនឹងថ្ងៃទី១៧ ខែកញ្ញា ឆ្នាំ២០២២ ដែលមានដូចតទៅ៖,neutral,annotators agreed
25,pair1,សូមកុំយកកូនបើសិនអ្នកគ្មានទំនួលខុសត្រូវភាពជាឪពុកម្តាយ,negative,corpus label used
26,pair1,រាប់ចាប់ពីការក្រេបកាហ្វេមួយកែវដំបូងនៅពេលព្រឹក សារជាតិកាហ្វេអ៊ីន បានជ្រាបចូលភ្លាម ទៅក្នុងចរន្តឈាមរបស់អ្នក ។,neutral,corpus label used
27,pair1,គូសបញ្ជាក់ផងដែរថា ល្បែងស៊ីសងទាំងអស់នេះ អាចបណ្តាលឱ្យមានអំពើហិង្សា ការលួចឆក់ប្លន់ និងជាកន្លែងប្រើប្រាស់ជួញដូរចែកចាយគ្រឿងញៀនផងដែរ។,negative,annotators agreed
28,pair1,អ្នកស្រីបានលើកឡើងថា៖ ខ្ញុំចូលចិត្តអគារនៅសាលាវិទ្យាស្ថានភាសាបរទេសជាងគេ ព្រោះវានៅសល់គូទឹក នៅសល់សួនច្បារ ហើយនៅពេលយើងនៅក្នុងអគារហ្នឹងមានអារម្មណ៍ថា វាត្រជាក់ស្រួលខ្លួន។,positive,annotators agreed
29,pair1,កាលបើអង្គុយស្រួលបួលហើយបានដឹងកិច្ចការនោះសព្វគ្រប់បុរសទំពែកទាំង៤នាក់ក៏អង្គុយនៅស្ងៀមសញ្ជឹងគិតមួយសន្ទុះរួចឃុតក៏ចាប់និយាយមុនគេឡើងថា៖ទំពក់វាទៅទើបព្នៅវាមក។,neutral,annotators agreed
30,pair1,មន្ត្រីសហភាពអឺរ៉ុបកំពូលពីរនាក់កាលពីថ្ងៃអង្គារទី ៤ ខែតុលា បានអំពាវនាវឱ្យមានខ្ចីប្រាក់រួមគ្នាដើម្បីជួយប្លុកដែលមានប្រទេសជាសមាជិកចំនួន ២៧ ដើម្បីឆ្លើយតបនឹងវិបត្តិថាមពលជាមួយគ្នា បន្ទាប់ពីអាល្លឺម៉ង់បានប្រឈមមុខនឹងការរិះគន់ចំពោះការបដិសេដលើផែនការមួយនេះ។,neutral,corpus label used
31,pair1,ដូច្នេះហើយ កិច្ចការសម្របសម្រួលនៃការធ្វើផែនការ និងការអនុវត្តគោលដៅអភិវឌ្ឍន៍ប្រកបដោយចីរភាពជាមួយនឹងយុទ្ធសាស្តរអភិវឌ្ឍន៍នៅក្នុងមូលដ្ឋាននានា ដូចជា ផែនការយុទ្ធសាស្តរអភិវឌ្ឍន៍ជាតិ ២០១៤-២០១៨ ត្រូវបានកំណត់ជាអាទិភាព។,neutral,corpus label used
32,pair1,ក្រៅពីទម្លាប់ទទួលទានល្អ អ្នកក៏អាចធ្វើឲ្យសុខភាពកាន់តែប្រសើរឡើងមួយកម្រិតទៀត តាមរយៈការហាត់ប្រាណទៀងទាត់ និងកាត់បន្ថយការទទួលទានគ្រឿងស្រវឹង។,positive,annotators agreed
33,pair1,ក្នុងសម័យឌីជីថលនេះ តួនាទីរបស់ទូរសព្ទស្មាតហ្វូនមានសារៈសំខាន់ខ្លាំងណាស់ ក្នុងការគាំទ្រសកម្មភាពមនុស្ស។,positive,annotators agreed
34,pair1,មុនថ្ងៃស្អែកចូលមកដល់ និងបន្ទាប់ពីអានអត្ថបទនេះរួច យើងសង្ឃឹមថាថ្ងៃនេះជាថ្ងៃចុងក្រោយដែលអ្នកព្រងើយកន្តើយនឹងផែនការថែរក្សាសុខភាពរបស់អ្នក ដោយសារតែសុខភាពរបស់យើងម្នាក់ៗមិនស្ថិតស្ថេរទេ។,negative,corpus label used
35,pair1,នៅក្នុងសៀវភៅទក្ខិណានុប្បទានបានពន្យល់ថា ហេតុដែលនាំឱ្យកើតបុណ្យមានតែបីចំណុចប៉ុណ្ណោះគឺចេតនាទាំងបីហ្នឹងឯងជាប្រភពនាំឱ្យកើតបុណ្យ ដែលពាក្យថាចេតនានេះប្រែថា ការជ្រះថ្លា សប្បាយរីករាយ ពេញចិត្តក្នុងទង្វើល្អផ្សេងៗ មានចំណាយទ្រព្យធ្វើបុណ្យជាដើម ។,positive,annotators agreed
36,pair1,ជាគំរូមួយ ពួកគេបានចង្អុលទៅគម្រោងការងារនៃជំងឺរាតត្បាតរបស់ប្លុក ដែលសហភាពអឺរ៉ុបបានខ្ចីប្រាក់ ១០០ ពាន់លានអឺរ៉ូក្នុងការចំណាយទាបបំផុត ហើយផ្តល់ប្រាក់កម្ចីជាជាងការប្រគល់វាដោយឥតគិតថ្លៃដល់រដ្ឋាភិបាលជាសមាជិក។,neutral,corpus label used
37,pair1,លោកបានបន្ថែមថា ការបំភាយឧស្ម័នផ្ទះកញ្ចក់ចំនួន ៧០ លានតោនផ្សេងទៀតអាចត្រូវបានផលិតសម្រាប់ការកសាងឡើងវិញនូវហេដ្ឋារចនាសម្ព័ន្ធ និងអគារដែលត្រូវបានបំផ្លាញក្នុងអំឡុងសង្គរាម៕,negative,annotators agreed
38,pair1,ឧស្សាហកម្មកំពុងផ្លាស់ប្តូរ ដំណើរការរបស់ពួកគេកំពុងឆ្ពោះទៅរកខ្សែចង្វាក់តម្លៃ។,neutral,annotators agreed
39,pair1,បើតាមរបាយការណ៍របស់ក្រុមប្រឹក្សាអភិវឌ្ឍន៍កម្ពុជា ដែលបានផ្សព្វផ្សាយ កាលពីថ្ងៃទី៥ ខែតុលា ឆ្នាំ២០២២ បានឱ្យដឹងថា កម្ពុជា បានអនុម័តគម្រោងវិនិយោគថ្មី សរុបចំនួន១៥០គម្រោង ក្រោមទុនវិនិយោគ ៣៥០០លានដុល្លារ ដោយរាប់ចាប់ពីខែមករា ដល់ខែកញ្ញា ឆ្នាំ២០២២។,neutral,corpus label used
40,pair1,ការផ្តន្ទាទោសទៅលើអ្នកទាំង១១នាក់ធ្វើឡើងនៅថ្ងៃទី១១ខែវិច្ឆិកាឆ្នាំ២០១៤។,negative,corpus label used
41,pair1,ទោះយ៉ាងណា លោក ថេង សាវឿន កត់សម្គាល់ការជំរុញវិស័យកសិកម្មក្នុងស្រុក នៅតែមានបញ្ហាប្រឈមមួយចំនួន ដែលរដ្ឋាភិបាលត្រូវគិតគូយកចិត្តទុកដាក់។,negative,corpus label used
42,pair1,ខ្សែបម្រើការពារស្លាបរបស់ក្រុមភ្នំពេញក្រោន កីឡាករ យ៉ើ ម៉ូស្លីម បានឱ្យដឹងថា បាទ បងពួកខ្ញុំបានត្រៀមខ្លួន១០០% ដើម្បីឡើងទៅវគ្គបន្ត ហើយពួកខ្ញុំបាន និងខិតខំ ប្រឹងប្រែងឱ្យអស់ពី សមត្ថភាពដែលពួកយើងមាន។,positive,annotators agreed
43,pair1,គោលបំណងនៃគោលដៅនេះ គឺពឹងផ្អែកលើការចាប់យកជំនាញ និងការកសាងសមត្ថភាពដើម្បីទទួលបាននូវចំណេះដឹងដែលកម្ពុជា និងប្រជាជនកម្ពុជាត្រូវការ។,positive,annotators agreed
44,pair1,ទន្ទឹមនឹងនេះ អនុស្សរណៈរបស់សេតវិមានក៏បានលើកឡើងផងដែរថា ប្រាក់នឹងត្រូវប្រើប្រាស់សម្រាប់ការអប់រំ និងការបណ្តុះបណ្តាលយោធាអ៊ុយក្រែន។,neutral,annotators agreed
45,pair1,យើងក៏កំពុងធ្វើការដើម្បីសម្របយុទ្ធសាស្ត្រការពាររបស់យើងទៅនឹងការគំរាមកំហែងផ្លាស់ប្តូរដែលយើងប្រឈមមុខ»។,neutral,annotators agreed
46,pair1,ជាងនេះទៅទៀត ប្រសិនបើមុខវិជ្ជាណាមួយត្រូវបានបង្រៀន ហើយបន្ទាប់មកត្រូវបានពង្រឹងតាមរយៈហ្គេមដែលមានកម្មវិធី វាពិតជាជួយក្នុងការបង្កើនការចងចាំរបស់ពួកគេ និងពង្រឹងការរៀនសូត្ររបស់ពួកគេអំពីគោលគំនិត ។,positive,annotators agreed
47,pair1,(សៀមរាប)៖ អភិរក្សដ្ឋានអង្គរសៀមរាបនឹងបើកទ្វារឲ្យសាធារណជនចូលទស្សនាវត្ថុសិល្បៈក្នុងអភិរក្សដ្ឋានអង្គរដោយសេរីនៅថ្ងៃទី១៧ ខែកញ្ញា ឆ្នាំ២០២២។,positive,annotators agreed
48,pair1,ទទួលស្គាល់នូវការរួមចំណែកពីសមាជិកក្រុមការងារនិងអ្នកពាក់ព័ន្ធសំខាន់ៗ,positive,corpus label used
49,pair1,ក្នុងស្ថានភាពនេះ លោកបានមើលឃើញទៀតថា ទីផ្សារតម្រូវការសេវាថែទាំសុខភាពរបស់ប្រជាជនកម្ពុជាមានទំហំធំ។,positive,annotators agreed
50,pair1,ដល់កន្លែងបុរសនោះសុំអំបិលដាក់កាហ្វេ,neutral,annotators agreed
