id,pair,label,sentence,cleaned_text,tokens,n_tokens_raw,n_tokens_clean
238,pair2,negative,លោកប្រធានាធិបតីបារាំង Emmanuel Macron បានលើក ឡើងទៀតថា ការធ្វើពហិការការទូតបែបនេះគ្មានសារៈសំខាន់ និងសឹងតែគ្មាននិមិត្តរូបអ្វីនោះទេ។,ប្រធានាធិបតី បារាំង Emmanuel Macron លើក ឡើង ទៀត ការធ្វើ ពហិការការទូត បែប គ្មាន សារៈសំខាន់ សឹងតែ គ្មាន និមិត្តរូប អ្វី,"['ប្រធានាធិបតី', 'បារាំង', 'Emmanuel', 'Macron', 'លើក', 'ឡើង', 'ទៀត', 'ការធ្វើ', 'ពហិការការទូត', 'បែប', 'គ្មាន', 'សារៈសំខាន់', 'សឹងតែ', 'គ្មាន', 'និមិត្តរូប', 'អ្វី']",24,16
352,pair2,neutral,ឃើញផ្ទះមួយប្រហាក់ប្រហែល តែមិនដឹងថាត្រូវរឺអត់ទេ គឺនៅជិត សាលាឃុំអូសណ្តាន់ ហើយផ្លូវចូលមានតូបលក់ពីរបី និងមានផ្លាកគណបក្សកម្ពុជា ដោយឃើញមាន ចំការចេកណាំវ៉ាតឿក្បែផ្ទះ បើយើងទៅពីភ្នំពេញគឺនៅខាងស្តាំដៃ។,ឃើញ ផ្ទះ ប្រហាក់ប្រហែល មិន ដឹង រឺ អត់ នៅជិត សាលា ឃុំ អូសណ្តាន់ ផ្លូវ ចូល មាន តូប លក់ បី មាន ផ្លាក គណបក្ស កម្ពុជា ឃើញ មាន ចំការចេក ណាំ វ៉ាតឿ ក្បែ ផ្ទះ ភ្នំពេញ ខាងស្តាំ ដៃ,"['ឃើញ', 'ផ្ទះ', 'ប្រហាក់ប្រហែល', 'មិន', 'ដឹង', 'រឺ', 'អត់', 'នៅជិត', 'សាលា', 'ឃុំ', 'អូសណ្តាន់', 'ផ្លូវ', 'ចូល', 'មាន', 'តូប', 'លក់', 'បី', 'មាន', 'ផ្លាក', 'គណបក្ស', 'កម្ពុជា', 'ឃើញ', 'មាន', 'ចំការចេក', 'ណាំ', 'វ៉ាតឿ', 'ក្បែ', 'ផ្ទះ', 'ភ្នំពេញ', 'ខាងស្តាំ', 'ដៃ']",48,31
171,pair1,negative,យោងតាម អារ៉ាប៊ីសាអូឌីត ដែលជាមេដឹកនាំរបស់ក្រុមនេះ បានអះអាងថា៖«ការកាត់បន្ថយការផ្គត់ផ្គង់ប្រេងស្មើនឹងប្រហែល ២ ភាគរយនៃការផ្គត់ផ្គង់ប្រេងទូទាំងពិភពលោក គឺជាការឆ្លើយតបទៅនឹងកំណើនអត្រាការប្រាក់នៅលោកខាងលិច និងការធ្លាក់ចុះនៃសេដ្ឋកិច្ចពិភពលោក»។,យោង តាម អារ៉ាប៊ី សាអូឌីត មេដឹកនាំ ក្រុម អះអាង ថា៖ ការកាត់បន្ថយ ការផ្គត់ផ្គង់ ប្រេង ស្មើនឹង ប្រហែល ភាគរយ នៃ ការផ្គត់ផ្គង់ ប្រេង ទូទាំង ពិភពលោក គឺជា ការឆ្លើយតប ទៅនឹង កំណើន អត្រា ការប្រាក់ ខាងលិច ការធ្លាក់ចុះ នៃ សេដ្ឋកិច្ច ពិភពលោក,"['យោង', 'តាម', 'អារ៉ាប៊ី', 'សាអូឌីត', 'មេដឹកនាំ', 'ក្រុម', 'អះអាង', 'ថា៖', 'ការកាត់បន្ថយ', 'ការផ្គត់ផ្គង់', 'ប្រេង', 'ស្មើនឹង', 'ប្រហែល', 'ភាគរយ', 'នៃ', 'ការផ្គត់ផ្គង់', 'ប្រេង', 'ទូទាំង', 'ពិភពលោក', 'គឺជា', 'ការឆ្លើយតប', 'ទៅនឹង', 'កំណើន', 'អត្រា', 'ការប្រាក់', 'ខាងលិច', 'ការធ្លាក់ចុះ', 'នៃ', 'សេដ្ឋកិច្ច', 'ពិភពលោក']",42,30
160,pair1,positive,បន្លែដែលមានស្លឹកពណ៌បៃតងដូចជាស្ពៃចង្កឹះ និងខាត់ណាក៏ជាប្រភពផ្តល់នូវ folate ដ៏ល្អបំផុតដែរ។,បន្លែ មាន ស្លឹក ពណ៌ បៃតង ដូចជា ស្ពៃ ចង្កឹះ ខាត់ ប្រភព ផ្តល់ នូវ folate ដ៏ ល្អ បំផុត,"['បន្លែ', 'មាន', 'ស្លឹក', 'ពណ៌', 'បៃតង', 'ដូចជា', 'ស្ពៃ', 'ចង្កឹះ', 'ខាត់', 'ប្រភព', 'ផ្តល់', 'នូវ', 'folate', 'ដ៏', 'ល្អ', 'បំផុត']",23,16
230,pair2,negative,ដោយឡែកសម្រាប់ បច្ចេកវិទ្យាមួយនេះគឺមិនអាចចាប់សញ្ញាដឹងទាំងអស់គ្រប់ស្ថានការណ៍គ្រោះថ្នាក់នោះទេ ជាក់ស្តែងក្នុងករណីនេះ គ្រាន់តែម្ចាស់ជិញរទេះភ្លើងហោះ Rollercoaster ក៏វាភ្ជាប់ទៅកាន់ 911 ដែរ។,ដោយឡែក បច្ចេកវិទ្យា មិន ចាប់ សញ្ញា ដឹង ទាំងអស់ គ្រប់ ស្ថានការណ៍ គ្រោះថ្នាក់ ជាក់ស្តែង ករណី គ្រាន់តែ ម្ចាស់ ជិញ រទេះភ្លើង ហោះ Rollercoaster ភ្ជាប់ ទៅកាន់,"['ដោយឡែក', 'បច្ចេកវិទ្យា', 'មិន', 'ចាប់', 'សញ្ញា', 'ដឹង', 'ទាំងអស់', 'គ្រប់', 'ស្ថានការណ៍', 'គ្រោះថ្នាក់', 'ជាក់ស្តែង', 'ករណី', 'គ្រាន់តែ', 'ម្ចាស់', 'ជិញ', 'រទេះភ្លើង', 'ហោះ', 'Rollercoaster', 'ភ្ជាប់', 'ទៅកាន់']",34,20
241,pair2,neutral,ច្បាប់និងបញ្ញត្តិសំខាន់ៗទាំងឡាយត្រូវបានចាត់ថ្នាក់តាមលំដាប់លំដោយ។,ច្បាប់ បញ្ញត្តិ សំខាន់ ទាំងឡាយ ត្រូវបាន ចាត់ ថ្នាក់ តាម លំដាប់លំដោយ,"['ច្បាប់', 'បញ្ញត្តិ', 'សំខាន់', 'ទាំងឡាយ', 'ត្រូវបាន', 'ចាត់', 'ថ្នាក់', 'តាម', 'លំដាប់លំដោយ']",12,9
50,pair1,neutral,ដល់កន្លែងបុរសនោះសុំអំបិលដាក់កាហ្វេ,កន្លែង បុរស សុំ អំបិល ដាក់ កាហ្វេ,"['កន្លែង', 'បុរស', 'សុំ', 'អំបិល', 'ដាក់', 'កាហ្វេ']",8,6
139,pair1,negative,មន្ត្រីដែលបាននិយាយក្នុងលក្ខខណ្ឌមិនបញ្ចេញឈ្មោះបានឱ្យដឹងថា៖«កញ្ចប់អាវុធជំនួយអាចផ្លាស់ប្តូរតម្លៃ និងខ្លឹមសាររហូតដល់នាទីចុងក្រោយ»។,មន្ត្រី និយាយ លក្ខខណ្ឌ មិន បញ្ចេញ ឈ្មោះ ឱ្យដឹង ថា៖ កញ្ចប់ អាវុធ ជំនួយ ផ្លាស់ប្តូរ តម្លៃ ខ្លឹមសារ រហូតដល់ នាទី ចុងក្រោយ,"['មន្ត្រី', 'និយាយ', 'លក្ខខណ្ឌ', 'មិន', 'បញ្ចេញ', 'ឈ្មោះ', 'ឱ្យដឹង', 'ថា៖', 'កញ្ចប់', 'អាវុធ', 'ជំនួយ', 'ផ្លាស់ប្តូរ', 'តម្លៃ', 'ខ្លឹមសារ', 'រហូតដល់', 'នាទី', 'ចុងក្រោយ']",26,17
341,pair2,negative,លោក ស ខេង កាលពីខែសីហា ឆ្នាំ២០២២ បានបញ្ចប់មុខតំណែងមន្ត្រីនៅក្រសួងនេះ ថ្នាក់អនុរដ្ឋលេខាធិការ ក្រោយពីរកឃើញថា មន្ត្រីនោះមានជាប់ពាក់ព័ន្ធនឹងអំពើពុករលួយ ដើរសន្យាលក់ក្របខណ្ឌនគរបាលជាតិ ក្នុងតម្លៃចន្លោះពី១ម៉ឺន ទៅ២ម៉ឺនដុល្លារ។,ខេង កាលពី ខែសីហា ឆ្នាំ ២០២២ បញ្ចប់ មុខតំណែង មន្ត្រី ក្រសួង ថ្នាក់ អនុ រដ្ឋលេខាធិការ ក្រោយពី រកឃើញ មន្ត្រី មាន ជាប់ពាក់ព័ន្ធ អំពើពុករលួយ ដើរ សន្យា លក់ ក្របខណ្ឌ នគរបាល ជាតិ តម្លៃ ចន្លោះ ១ម៉ឺន ២ម៉ឺន ដុល្លារ,"['ខេង', 'កាលពី', 'ខែសីហា', 'ឆ្នាំ', '២០២២', 'បញ្ចប់', 'មុខតំណែង', 'មន្ត្រី', 'ក្រសួង', 'ថ្នាក់', 'អនុ', 'រដ្ឋលេខាធិការ', 'ក្រោយពី', 'រកឃើញ', 'មន្ត្រី', 'មាន', 'ជាប់ពាក់ព័ន្ធ', 'អំពើពុករលួយ', 'ដើរ', 'សន្យា', 'លក់', 'ក្របខណ្ឌ', 'នគរបាល', 'ជាតិ', 'តម្លៃ', 'ចន្លោះ', '១ម៉ឺន', '២ម៉ឺន', 'ដុល្លារ']",41,29
143,pair1,negative,អាជ្ញាធរត្រូវយកចិត្តទុក ដាក់ដោះស្រាយជម្លោះដីធ្លីជូនប្រជាពលរដ្ឋអោយបានរហ័ស និងមានប្រសិទ្ធិភាព ជាពិសេសការដោះស្រាយក្រៅប្រព័ន្ធតុលាការអោយបានច្រើន ដោយមិនត្រូវលំអៀងខាងភាគីណានោះទេត្រូវឈរនៅកណ្តាល ដើម្បីបម្រើផលប្រយោជន៍ទាំងសងខាង។,អាជ្ញាធរ យកចិត្ត ទុក ដាក់ ដោះស្រាយ ជម្លោះ ដីធ្លី ជូន ប្រជាពលរដ្ឋ អោយ រហ័ស មាន ប្រសិទ្ធិភាព ជាពិសេស ការដោះស្រាយ ក្រៅ ប្រព័ន្ធ តុលាការ អោយ ច្រើន មិន លំអៀង ខាង ភាគី ឈរ កណ្តាល បម្រើ ផលប្រយោជន៍ សងខាង,"['អាជ្ញាធរ', 'យកចិត្ត', 'ទុក', 'ដាក់', 'ដោះស្រាយ', 'ជម្លោះ', 'ដីធ្លី', 'ជូន', 'ប្រជាពលរដ្ឋ', 'អោយ', 'រហ័ស', 'មាន', 'ប្រសិទ្ធិភាព', 'ជាពិសេស', 'ការដោះស្រាយ', 'ក្រៅ', 'ប្រព័ន្ធ', 'តុលាការ', 'អោយ', 'ច្រើន', 'មិន', 'លំអៀង', 'ខាង', 'ភាគី', 'ឈរ', 'កណ្តាល', 'បម្រើ', 'ផលប្រយោជន៍', 'សងខាង']",43,29
